,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,product_type,helpful,rating,title,review_text,sentiment
12,430,1438,716,kitchen & housewares,0 of 3,1.0,Sent incorrect item,"Item was not the one ordered, I returned it and the reolacement you sent was also incorrect. I returned this second item for credit. You had placed your sticker with bar code over the manufacture's bar code and your label was incorrect. I hope you correct your error before you send several custmers the wrong ite",0
13,1008,1778,981,kitchen & housewares,2 of 2,5.0,I think It's cleaning itself,"""I think It's cleaning itself"" says my wife as she was soaking it in the sink after we baked mac and cheese. It seemed like it was. I gave it a quick scrub with a songe and it was clean. No need to soak it really. ",1
14,1872,498,1769,kitchen & housewares,5 of 5,1.0,The worst can opener I ever bought,Openning a dog food can is nearly impossible without at least 6 or 7 tries to get the blade to catch.  I bought it; I regret the purchase;  I threw it out. This really hurts the cuisinart image,0
15,655,1125,328,kitchen & housewares,2 of 3,1.0,Still Waiting,I bought a Haier RTC1700SS oven from Amazon about a month ago. I am still waiting for a replacement from Haier because the trays & spit did not fit.,0
16,133,474,636,kitchen & housewares,11 of 12,5.0,Great Ice Cream Maker,"This ice cream Maker is ""GREAT"".  The fact that I can use an industrial motor (my kitchen Aid mixer) is fantastic.  It is my belief that the ice cream maker itself is as near perfect as you can get, contrary to other reviews.  If you read the description and instructions, you will find that it is not the biggest maker on the market AND that it does EXACTLY what it says it will...IT MAKES ""GREAT"" ICE CREAM.",1
17,1455,1267,77,kitchen & housewares,3 of 6,1.0,Faulty electronics,"The salesclerk told us that because of previous model recalls, that the new KitchenAid was sure to be a huge improvement, especially with it's price tag.  We've tried 2 models and both had problems with error messages.  The manual's suggestions do nothing to eliminate this.  Also, we've had the same trouble with coffee spewing out.  For the price tag, this is a seriously disappointing coffee maker.  We finally took it back and are on the look out for a better quality model (NOT KitchenAid).  Oddly enough, our other KitchenAid appliances (range and fridge) have also had electronic problems.  I wonder what the quality control is on the parts that are being cheaply manufactured, no doubt, in some overseas location.  I wouldn't recommend KitchenAid to anyone, regardless of the nice styling and supposed high-quality.",0
18,929,1533,409,kitchen & housewares,2 of 2,5.0,Fantastic !!,"This is the best can opener I've ever used! With arthritis in my hands and wrists I've always struggled with can openers. (The electric ones take up valuable counter space and tend to spill the liquid contents.) The Oxo is easy to grip, easy to turn the knob and I appreciate the little jaw-grippy thingy on the side to help seperate the can and lid.",1
19,1801,659,893,kitchen & housewares,,1.0,Broke after limited use,My Screwpull Lever model broke after opening roughly 40 bottles over 1+year.  Locked up and when I pulled a little harder it stripped a gear (the notches into which the gear meshes are only plastic.)  ,0
20,1740,337,929,kitchen & housewares,1 of 12,1.0,broken item,I was dissapointed that this item arrived broken and I needed to send it back for a refund,0
21,1984,1405,1692,kitchen & housewares,1 of 2,1.0,Go with a better model,"I bought this ""piece of junk"" at Wal*Mart. I was actually surprised to see a food processor so cheap, so I decided to buy it.",0
22,511,1762,717,kitchen & housewares,11 of 12,4.0,Works well and looks nice,"I was looking for a kettle with a handle that I could pick up without using an oven mitt, and one that doesn't require removal of the whistle (also with oven mitt of course) before pouring.  This kettle fit the bill.  The handle as well as the whistle are plastic and cool to the touch.  The whistle flips up with a touch of your thumb and does not require removal.",1
23,173,691,478,kitchen & housewares,7 of 14,2.0,Don't buy it!,Worked great the first couple of times.  I didn't keep it on the charger for 24 hours (not realizing that this is a problem) and now the battery only works for 10 minutes at a time.  It's now basically worthless,0
24,1679,1752,8,kitchen & housewares,3 of 3,1.0,The first Atlantis was destroyed; this one should be too!,"The first, and only time, I tried to use this compact carpet cleaner was a total disaster. While removing an old sofa to make way for new furniture, the delivery men stained the new carpet. I whipped out our new Atlantis, filled the rinse tank and popped in the soap cartridge. With manual in hand, I tried to quickly clean the carpet as the new furniture was making its way up the stairs... The unit did not dispense soapy water, the hand-held wand leaked, and finally I discovered that the body of the until was leaking all over my carpet, creating a soggy new stain. So here I am with two stains on my now very wet carpet, furniture being delivered and an Atlantis unit sitting in my bathtub until I can find a large sledge hammer. Don't waste your money with this thing. There has to be a better answer",0
25,1725,1358,1210,kitchen & housewares,1 of 1,5.0,KitchenAid Flat Beater Replacement,It was just what I needed.  I inherited the mixer but it didn't have the beater.  So now I have one and it works perfectly,1
26,1098,63,783,kitchen & housewares,3 of 3,4.0,BEAUTIFUL!!,This Corelle set has that handcrafted italian detailed look but without worrying about everyday wear-and-tear. It's time to retire my old butterfly pattern which I've had for decades. I rate it four stars only because it would be so much more practical to sell these in SETS OF SIX. It's more profitable for Corelle but not so practical for us. Yes the bowls are shallow and the mugs are stoneware so they are not break resistant.,1
27,1520,574,974,kitchen & housewares,2 of 2,2.0,I'm Sending them Back,I ordered the orange and the red.  The colors were much more drab in person.  The cumin is actually burnt orange from the 70s,0
28,1022,1182,1448,kitchen & housewares,25 of 26,1.0,Not the same as the Cast Aluminum Rose Bundt,"I wish I had read the review by Mary Twain before purchasing the Pro Form Rose Bundt.  Because it was made by Nordic Ware, I thought it would be the same as the cast aluminum but it's not.  Don't be fooled b/c the cake will not look like a rose.  The pan is more shallow & the ring is bigger than the cast aluminum.  Since I only paid $9.99 for this, I didn't want to waste paying for shipping to get a refund",0
29,1894,1005,894,kitchen & housewares,3 of 3,1.0,Who's Kidding Who Here?,This unit from Cooking.com is made from China.  Consider it to be a disposable unit.  The threads on it are worthless.  I got one single use out of them.  I thought it to be a fluke.  Ordered another one.  Same thing.  Frustrated!  ,0
30,1693,1581,1411,kitchen & housewares,8 of 11,1.0,Not The Best At All,"I have been making ice cream in a Cuisinart machine for years but I wanted to regain my freezer space from the 2 canisters I had to keep ready.. I also wanted to make good gelato since I can't go to Italy all the time. I had first bought the Lussino 4080 by Musso. It was terrible. Too soft right out of the machine and full of ice crystals when put in the freezer for any amount of time. It didn't get firm, it became a rock. I returned it and got the Lello Gelato Pro instead.  It is quieter, has a washable bowl, costs about half the money, weighs much less and makes 2 quarts rather than 1&1/2 quarts. There is no contest. The Lello is the superior machine",0
31,1966,672,1406,kitchen & housewares,26 of 27,5.0,Favorite Accessory,"This food chopper is my favorite extra appliance in the kitchen.  For salsas, the low speed lets me keep the ingredients chunky. For sauces, the higher speed can easily puree most ingredients. My favorite item to use it for is onions and it saves alot of tears.  The large bowl not only holds alot, but is also very  easy to clean. I highly recommend this food chopper for frequent or casual dicing cook",1
32,361,1165,1588,kitchen & housewares,,2.0,Disappointed,"This board scratches really easily, and mine had dings in it when it arrived",0
33,534,322,1374,kitchen & housewares,6 of 7,1.0,You cannot make pancakes or eggs on this pan...,"Contrary to the description above, this is NOT a non-stick pan.  I tried making eggs and pancakes on the pan.  Everything stuck to the bottom.  I used bacon grease on the pan before I made the eggs.  They stuck.  I used butter on the pan before I made the pancakes.  They stuck.",0
34,284,1251,1030,kitchen & housewares,3 of 3,5.0,Light weight board,"I've owned this board for a year now.  Pros- light weight, you can use very sharp knives on and not get much indentation on the board, compact.  Cons- well it can be a con that it is light weight since if you are trying to cut a larger item it might shift, but honestly, if you just get a cutting board that is larger you'd have the perfect cutting board",1
35,257,899,1351,kitchen & housewares,2 of 2,1.0,Stopped working after less than 2 years,"I've had this kettle for less than 2 years. After reading good reviews, I decided to purchase this kettle because I wanted something that would last with daily use. I disliked it from the beginning. Why? 1) It's heavy. 2) When you open the lid to fill it with water (you shouldn't fill it just through the spout because then all the deposits are on the wrong side of the filter), water that has collected around the lid leaks out and runs down the outside of the kettle. 3) After less than 2 years of use, it is no longer working properly. It constantly switches off during heating. I've had better use from a cheap plastic kettle, and will be going back to using one of those",0
36,292,905,591,kitchen & housewares,,4.0,Handy kitchen item,"These are thin, lightweight, flexible mats that are great for chopping things on and then picking up and folding up the edges to pour the food into a pot/pan. This thinness/flexibility has a ""downside"" too: I do agree with the other reviewers that these mats tend to curl up and not lay flat.  However,they clean up easily, the price is right, and I am happy with my purchase.",1
37,437,372,1154,kitchen & housewares,2 of 3,2.0,"Took too long to ship, then got wrong color!","This is a disapointment for me. I ordered these sheets in white, and recieved ivory. (unlike other reviewers I am not talking about a tinge of ivory, my package said IVORY instead of WHITE.) I would return these sheets, but they are a gift for my mother, and since they took so long to ship, I won't have time to get her anything else! I have never had a bad experience with Amazon products, some of the third party sellers could be better, but usually Amazon it's self is pretty good. Not in this case! The sheets do feel nice, and hopefully they work out for my mother, but I am keeping my paperwork and packaging just incase she runs into any problems!",0
38,82,1791,771,kitchen & housewares,1 of 2,5.0,Great Pan,We are replacing all our coated pans.  This is a great pa,1
39,317,1800,425,kitchen & housewares,4 of 4,5.0,conducts heat really well,this set conducts heat really well and everything heats up fast but be careful not to burn anything which I did the first time using it. Also it takes a bit of scrubbing if you burn it bt other than that it's a great product,1
40,843,1065,663,kitchen & housewares,9 of 9,2.0,gadget enthusiast,I was disappointed with the spatula.  It is too flexible and too large for my hand.  My husband thought the size was okay but he too thought it was too flexible.  It reminded me of a diving board,0
41,19,695,579,kitchen & housewares,26 of 27,4.0,Fantastic coffeemaker - if you have the space,"When my Braun FlavorSelect coffee maker unexpectedly stopped working, I had to scramble to find a new machine. I wanted another Braun, but unfortunately, they seem to have stopped making a 12 cup coffee maker. So I had to begin an intense search for a machine that had the features I wanted combined with good value. I finally found it with this Cuisinart model.",1
42,1444,1635,1018,kitchen & housewares,,1.0,"Nearly caught on fire, ruined my shirt",This iron worked splendidly for over year before almost catching on fire while I was using it.  I was pressing a shirt when suddenly the LED display on the iron shut off and started beeping repeatedly.  I smelled smoke and the handle was hot to the touch.  I lifted the iron off my shirt to discover a dark scorch mark ON MY BRAND NEW SHIRT!,0
43,307,1811,1565,kitchen & housewares,2 of 2,4.0,Works well,"Works well, well built and easy to clean.  Have no problems after a few months of use",1
44,1793,1519,877,kitchen & housewares,8 of 8,5.0,Awesome!,I really love these bed sheets.  From the moment I got them I put them on my king size bed and I almost didn't want to take them off to wash them. They are very comfortable and of a very good quality.  The fitted sheet does have deep pockets indeed so they stay attached to the matress even after several days of use.  I am very pleased with this product,1
45,1708,1814,837,kitchen & housewares,3 of 3,5.0,Terrific product,This size is perfect for actually using. It gets thrown into the dishwasher and gets used every day. Love it,1
46,549,1808,1899,kitchen & housewares,2 of 3,5.0,Absolutely great,"I have a number of booklites, different vendors, different styles, some AC adapter, some straight battery, cheap to higher prices, and this one is the best, the brightest, the one I will most often use.  It is connected to adapter and kept near computerat all times.  I am careful with such items, don't expect any problems, most booklites are not meant to be manhandled",1
47,96,429,928,kitchen & housewares,,5.0,Pretty good down pillow,It's a pretty good down pillow. It's well filled and doesn't feel too low to me. ,1
48,942,1920,266,kitchen & housewares,1 of 1,2.0,Afraid they'll fall apart,"I bought two sets to take advantage of the free shipping, despite the low reviews. (I plan to buy good sheets once they go on clearance at the end of the season...) When I took one set out of the package there was already a hole in it. Amazon replaced them, but when I washed them they feel like they are going to fall apart. The filled up the lint collector. I have red and green lint everywhere, even after washing them. You get what you pay for",0
49,753,302,480,kitchen & housewares,1 of 1,4.0,big and useful,"Initially I was very surprised by how large the tools were. They are much bigger than any tool I've bought previously. If you don't have much space in the kitchen, I'd think twice about buying these tools.  However, after using them I think they are quite sturdy and useful.  Eventhough they are large, they are not heavy and sometimes there size is quite helpful.  You can pick up a whole fried egg with the spatula, for example. I am happy with my purchace, because the price was good",1
50,969,629,1748,kitchen & housewares,1 of 2,5.0,just like grandma made...,"i bought this little percolator in order to brew the homemade coffee my grandma gave me.  it works great.  perfect size, easy to use and easy on the eyes.  for the beginners (like me) it does take a couple of trial runs to get the perfect cup of coffee (a measuring spoon would have been nice).  but it's all well worth it to get a break from starbucks",1
51,336,1104,56,kitchen & housewares,,4.0,great whisk,pretty pink and for a verry* good cause..very sturdy..just pricey but as i said..its for a good caus,1
52,90,1422,272,kitchen & housewares,7 of 7,5.0,Pyrex baking cups (6)oz),"These small cups come in handy for making custard, warming baby food and for individual servings of snacks, and food items,etc.  Delivery was prompt. They don't seem to be available in the department stores or discount stores anymore so was delighted to find them on line.  Lynn Martin in Va",1
53,911,1695,1053,kitchen & housewares,1 of 1,1.0,Zero Stars!,"The battery is way below standard, extremely disappointing. It's cheaper to buy another machine than to replace it",0
54,1071,1751,1518,kitchen & housewares,2 of 2,2.0,poor quality for the companies reputation,This sifter broke a month after I got it. It seems sturdy but it actually requires carefull handling. The sifting is somewhat slow but good (excercise!!!),0
55,1875,1489,1881,kitchen & housewares,11 of 11,4.0,Not so much for the big mixers,"This Cloth Cover is great and made from a very good material, but it doesn't quite fit the 6 quart KitchenAid mixer it is a few inches short",1
56,791,399,1618,kitchen & housewares,1 of 2,2.0,Beautiful but too heavy!,Works well and looks great but lifting is not fun.  If you are a weight lifter always looking for a few more reps for your wrist elbow and shoulder get this kettle.  ,0
57,1702,3,1159,kitchen & housewares,5 of 5,5.0,What a difference this light makes!,I suspected that a daylight spectrum lamp might be a complete hoax.  I work in an interior office with no view of natural light.  That's 8-10 hours a day in a room with flourescent lighting!,1
58,1074,608,203,kitchen & housewares,,2.0,Only sprays intermittently with my cocker spaniel (15 lb.),"Sometimes it sprays when she barks, most of the time it doesn't. So I would say its effectiveness has been rather low. It's not the battery or the fill level - maybe it just depends on the dog. I can bark into it myself and it sprays just fine. (My children found this amusing.",0
59,382,1674,1645,kitchen & housewares,2 of 2,4.0,inexpensive knives,"If you are looking for a nice, inexpensive set of knives, look no further.  This set is very sharp, cuts well and fits into your hand nicely.  They have great balance and apperance.  The box is a little cheap feeling and looking, but allows for a great storage within a drawer or cabinet. ",1
60,684,1750,247,kitchen & housewares,22 of 23,2.0,Cute but cute doesn't cut it in a busy kitchen,"Usually OXO produces well designed items that have you thinking &quot;They *really* thought about how this thing was going to be used (and abused)!&quot;  Unfortunately the other reviewers are spot on -- very bendy handles.  It's a shame, but you should pass on these",0
61,1864,1140,1824,kitchen & housewares,3 of 3,5.0,Great product,I splurged and bought this product for my espressos in the morning. I bought the pint sized model for $35.00. (You use one charger each time you open the container up. So if you get the half pint size you will need to stock up on chargers.) ,1
62,363,1071,799,kitchen & housewares,,5.0,Excellent design and very pleasant colors!!,I have seen this set at my friends place ....its,1
63,226,1666,768,kitchen & housewares,1 of 4,5.0,great value,for the money this is a way for the novice cook to experience the quality of wustof. This knife went into my daughter in law's stocking for Christmas and was a great hit,1
64,304,856,957,kitchen & housewares,,1.0,Waste of money!,This cooker made great rice...for a grand total of 3 uses before it broke! It also has a very thin and easily dented aluminum bowl that is NOT non-stick. There are better cookers out there for comparable prices. Don't waste your money,0
65,1943,352,486,kitchen & housewares,2 of 2,5.0,Practice,"This takes a little practice to get used to putting the opener properly on the can. However, once you do, it works extremely well- it turns smoothly and cans are opened cleanly, regardless of can size. I especially like having no sharp edges",1
66,370,1972,1315,kitchen & housewares,3 of 3,4.0,A very satisfactory purchase,"The Senseo delivers a good, hot cup of coffee in either single or double mode. It's easy to fill, easy to use, easy to clean, and accepts any suitably shaped coffee pod. The only mild annoyance is the rattly cup tray during the brew-pump operation",1
67,1387,476,318,kitchen & housewares,2 of 2,5.0,works as promised - reconditioned no problem,"Delighted to have it for my wood floors, tile and area rugs. Works great picking up cat fur and other organic and non-organic detritus that collects. Does require emptying the fur catcher and cleaning the brush regularly - gosh darn! So much easier to do that than taking a broom or dust mop to the entire house. Also have to set up the virtual walls and carry it upstairs and down, when I want to change areas being cleaned. Again, gosh darn! Can't totally eliminate ALL the work, no matter how much I might like to.",1
68,868,1746,984,kitchen & housewares,0 of 13,1.0,I don't get this positive feed back! Animal Abuse!,"This product is sick! If you get a ""delight"" out of seeing an fish hung  like a Christmas decoration in a ball that is way too small too  live in your sick! Plus a nightlight? Try sleeping w/ no eyelids w/ a light over your head. Fish sleep too, but  they cant close their eyes. There does not even seem to be much air space above the water. It's the same problem with those silly bowls with the plants on top. They breath oxygen and sufficate witout fresh air. Get at least a five gal. tank and don't waste your $ on this cheap fad product. Bettas are so smart, fun and sociable and desarve just as much respect as all of our fellow pets and humans",0
69,88,790,1635,kitchen & housewares,5 of 5,5.0,Excellent pan and lifetime guarantee--excellent buy!,"I have a set of 16-year-old Farberware.  I ordered this 3 qt. pan as a replacement--the handle on my old 3 qt. cracked from where the screw hole is.  After I received this beautiful pan, I noticed the limited lifetime guarantee, called the number, and a new handle for my old pan is in the mail to me as we speak.  This 3 qt. pan is even nicer than the pans I bought almost 20 years ago and is higher than the old model with a nicer lid/rolled edges and nicer bottom--and it really is beautiful--very classic styling.  Since I use them so often and new one's so lovely, I will definitely keep the new one even though a replacement handle is on its way.",1
70,1949,349,718,kitchen & housewares,1 of 1,4.0,A Perfectly Good Blender for the Price,What can you say about a blender?,1
71,780,193,890,kitchen & housewares,1 of 1,5.0,cool cookin,"I really enjoy cooking with the combo grill/griddle, its saves a lot of time on breakfast, lunches and dinners you get more meals at one tim",1
72,1640,1262,1305,kitchen & housewares,5 of 12,1.0,BE VERY CAREFUL,I used this seemingly incredible product and accidentally left it in the oven during a self-cleaning.  It completely evaporated and left teflon covering the entire interior of the oven. I had to replace the oven! It was toxic from the teflon powder.  DO NOT BUY THIS PRODUCT!,0
73,328,798,0,kitchen & housewares,5 of 6,5.0,The most useful thing,I bought my Vacu Vin set about 4 years ago and it's still working perfectly.  It's so easy to use and it does preserve the wine flavor for at least a few days.  We no longer have to finish a whole bottle in one sitting or risk a spoiled wine.  I've recommended it to a few of my friends and they all say they can't live without it now.,1
74,628,975,426,kitchen & housewares,1 of 1,5.0,Cleans well and easy to use,"I've stir fried in this pan quite a few meals, including carmelizing onions with soy sauce. When used with medium heat, cleaning is very easy. Soaking it for a few minutes and then scrubbing with scotch bright for a minute works. I've done this also with high heat, it needed more scrubbing but after a few minutes it looked new. ",1
75,1989,1368,36,kitchen & housewares,13 of 29,1.0,VinChilla wine chiller,... I returned it without even using it because it did not feel like a quaility item.  I would not recomend this product if you have any taste,0
76,883,830,1953,kitchen & housewares,3 of 16,1.0,High Priced - Low Quality,Very disappointing!  Spend your money somewhere else.  I threw away a perfectly good but old made in the USA Thermos bottle and bought this made in China Nissan 0.79-Quart Stainless-Steel INSULATED Bottle back in June of 2005.  Ten Months later this bottle stopped keeping anything warm and would feel warm to the touch after you poured warm liquids in it - evidence of the loss of its insulating function.  I think it lost the vacuum in the cavity which I think is the method used to insulate the liquid inside.  When you spend $25 one would think it's a good quality product - Think again,0
77,254,972,37,kitchen & housewares,6 of 7,5.0,This is a Bargin,I had a Zojirushi NHS-10 and worked fine. I gave it to my sister-in-law...grin.,1
78,1005,1739,958,kitchen & housewares,1 of 2,2.0,same problem other people are having,"Mine didn't hold up either. For what I paid for it, I expected more. One I picked up for around twenty is doing a much better job and lasted through more than four uses.",0
79,1757,597,1654,kitchen & housewares,3 of 5,1.0,Rice Steamer makes a total mess on counter.,This steamer sucks. Puts white goo all over the outside of unit and on counter. Wish I didn't buy it,0
80,182,1589,562,kitchen & housewares,11 of 13,1.0,Buyer beware!,When I first bought this pan I was replacing a pan from a moderately priced set from Costco.  That pan lasted about 3 years and I got my money's worth.,0
81,365,1394,1035,kitchen & housewares,3 of 21,4.0,Treadable and edible!,"Lodge logic has exploded from a small corner shop in one lonely town in Vermont, to a nationwide powerhouse ready and eager to bust down to the door to your house and fill your kitchen with finest in waffle press technology.  I'm of course referring to the cutting edge Finnish design that lodge has presented here.  I'm able to pretty much press out an entire course of breakfast in well under an hour with this thing, easily producing a feast fit for the third reich. ",1
82,36,1514,423,kitchen & housewares,19 of 19,5.0,Microwave Egg Boiler,"It works great, and it's small (6"" high, 5"" diameter) and easy to use. May require some experimentation to get times correct for your own microwave. For me: 7 minutes for soft, 8 min for medium, and 9-10 min for hard eggs on high power (700W microwave).",1
83,332,808,1464,kitchen & housewares,3 of 4,1.0,Poor Handles,"The cooking set looks great.  However, once you heat the pot/ pan, the steel material handles become super hot.  I have to return the huge box",0
84,1382,1381,1198,kitchen & housewares,5 of 7,1.0,Unsuitable for Brown Rice,"I spent several hours searching &amp; researching rice cookers trying to find one that was designed specifically for brown rice. I finally decided on this one because it specifically mentioned brown rice, and had brown rice &quot;measurements&quot; which are different than for regular white rice. I am disappointed. First of all, the manual recommends NOT using the &quot;keep warm&quot; function when using brown rice. This means you have to unplug the machine when the cooking cycle is over. This defeats the purpose of an automatic rice cooker. But even this drawback might be acceptable if it did a good job of cooking brown rice properly. It does not. It is either too wet &amp; mushy, or too dry and burnt. We have been unable to cook a proper batch yet, after much experimentation with slightly more or less water, and using 3 different types of brown rice. Look elsewhere, and let me know if you find one that works properly with brown rice",0
85,1730,725,1292,kitchen & housewares,1 of 1,4.0,Panini Grill a Winner,"The Villaware Panini Grill has proved to be a very useful appliance, so much so that I leave it out on the counter - it's quite attractive, and certainly not an eyesore.  I use it often, for grilled sandwiches, of course, but also for grilled meats and fish.  I would caution users to avoid meat with bones, e.g. lamb chops(you can't get a good sear when the bone keeps the surface of the meat away from the grill), and to be very careful about timing: things get done twice as fast!  While the cleaning ""comb"" is useful to get most of the remaining food or fat off the grill, you still need to fold a paper towel and clean each groove separately; much easier to do if the grill is warm (not hot).  I haven't tried grilling vegetables, yet, but it should work perfectly on zucchini sliced the long way, or eggplant, or peppers.",1
86,535,750,1378,kitchen & housewares,6 of 6,2.0,Worked Great then the decline,I bought this product about a year ago and for a while it worked great. Then I noticed that the unit was starting to shut off faster and faster until today when I finally decieded to toss her. Overall in the beginning yes there is alot of power but what is the good of it when the battery's life is only about a year before she goes. I wouldnt recommend one especially since Dirt Devil came out with a cyclone one which I will try with hopefully longer lasting results.  ,0
87,771,1316,293,kitchen & housewares,1 of 1,2.0,pretty dull,"The handles, although very cushioned, are TOO fat for my hands (which admittedly are rather small). I never really got to give either piece a true test though, because the blades on the parer and the vegetable peeler were way too dull to work well. I can't really recommend either, although the parer was a little better than the peeler",0
88,818,414,575,kitchen & housewares,10 of 10,2.0,"Good oven, but controls gave out",We like the features and performance of this oven quite a bit.  We bought it to replace a regular old toaster oven.  The T-Fal toasts very evenly and I can fit a whole frozen pizza in it!,0
89,985,1048,1726,kitchen & housewares,,2.0,not what I expected,"These are plastic-y, one cracked after 2nd washing, they look like the little fish bowls from the county fair, so big you have to use 2 hands to prevent sloshing it all over yourself   :",0
90,28,1053,1813,kitchen & housewares,1 of 1,1.0,a bad choice,"I feel it was an unlucky day when I bought this pot.  As careful as I tried to be, it was extremely difficult to tell if I had correctly placed the stem (with basket) in the pit.  It had to be by ""feel,"" and half the time it was apparently a hair's breadth off and would not perk.  Or it would perk enough so that the light went on but that the coffee grounds were hardly wet.  It was also difficult to correctly jam the plug into the pot.  A hair's breadth off and again it wouldn't perk.  So each day became a guessing game as to whether today would be the day I got real coffee instead of cold water or damp coffee grounds.  I am returning to my old friend, the Farberware FC280.  It may or may not last more than a year but at least I can depend on it",0
91,331,443,1675,kitchen & housewares,24 of 24,5.0,Le Creuset = Quality,"I own many items from the Le Creuset stoneware collection, and I must say that they are all of superb quality.  This square pan  is perfect for baking and serving my favorite side dishes and desserts.  I have been impressed over and over again at how non-stick the surface of this bakeware is.  Everything I have put into Le Creuset bakeware - brownies, casseroles, refried beans, etc. - has come clean with zero elbow grease.  In fact, the dishwasher usually gets them sparkling clean without my help!  I highly recommend this product as well as everything else from this line",1
92,1470,1734,1119,kitchen & housewares,8 of 8,1.0,Overrated!,"I had older 500 thread count sheets that were better, lighter, smoother.  These feel like 200 thread count sheets.  Complete waste of money",0
93,1353,1660,1100,kitchen & housewares,2 of 2,5.0,Great for microwaving meal-sized soup or oatmeal,"When all you're having is a big bowl of chunky soup for lunch or oatmeal for breakfast, this bowl goes great in the microwave and on to the sofa with you.",1
94,1677,1587,618,kitchen & housewares,,1.0,Poor Quality,"I own 3 other Malibu Shores comforter sets and I just love it with no problem.  But, with this particular set I'm so disappointed with the quality of the material is poor, the areas where two materials were sewn together is tearing apart, and the stitchings are coming apart in many different parts of the comforter.  Not to mention the padding is already separating after two weeks of usage",0
95,1957,1507,682,kitchen & housewares,18 of 18,5.0,"engineer, not a baker","I bought one of these muffin pans because I was excited at the prospect of owning a piece of bakeware whose lining wasn't destroyed by the 3rd time I wanted to use it. For that alone, I would give this item 5 stars.",1
96,1498,454,740,kitchen & housewares,1 of 6,1.0,Terrible!!! Don't buy!!!,"Doesn't work. Not worth the postage to return. The foil cutter works, though...so if you want a really expensive foil cutter with a free paper weight, this is for you!",0
97,166,367,1130,kitchen & housewares,8 of 9,2.0,Erm...,"I bought this because it had such good reviews... I got one and used it a few times perfectly without problems. until it blew up in the microwave. yep, BLEW up. Now Im sure i did everything as i was meant to.. so i really am being objective about this review..",0
